unique_id,lat,lng,r_code
AH000046-07,37.05502297,127.0610959,9
AH000046-08,37.05502297,127.0610959,9
AH000047-01,37.64925827,126.58204931,9
AH000047-02,37.64925827,126.58204931,9
AH000048-01,37.67999522,127.17887111,9
AH000048-02,37.67999522,127.17887111,9
AH000048-03,37.67999522,127.17887111,9
AH000048-04,37.67999522,127.17887111,9
AH000049-01,36.0416518,127.00049391,13
AH000049-02,36.0416518,127.00049391,13
AH000050-01,36.03129418,126.95795193,13
AH000050-02,36.03129418,126.95795193,13
AH000051-01,35.93856893,126.94315297,13
AH000051-02,35.93856893,126.94315297,13
AH000052-01,35.90020737,128.6127503,3
AH000052-02,35.90020737,128.6127503,3
AH000053-01,37.59331396,127.0438452,1
AH000054-01,37.29785254,127.0064747,9
AH000054-02,37.29785254,127.0064747,9
AH000054-03,37.29785254,127.0064747,9
AH000054-04,37.29785254,127.0064747,9
AH000055-01,37.65229634,127.12932854,9
AH000055-02,37.65229634,127.12932854,9
AH000055-03,37.65229634,127.12932854,9
AH000055-04,37.65229634,127.12932854,9
AH000056-01,35.95061982,126.9391435,13
AH000057-01,35.9548567,126.9941508,13
AH000058-01,35.93387582,126.95733458,13
AH000059-01,33.27734549,126.2821421,17
AH000059-02,33.27734549,126.2821421,17
AH000059-03,33.27734549,126.2821421,17
AH000059-04,33.27734549,126.2821421,17
AH000060-01,35.95802268,126.97702076,13
AH000060-02,35.95802268,126.97702076,13
AH000061-01,36.49809616,127.28578889,8
AH000062-01,37.65438112,127.02836981,1
AH000062-02,37.65438112,127.02836981,1
AH000063-01,37.2985658,126.7896084,9
AH000063-02,37.2985658,126.7896084,9
AH000064-01,37.37728302,127.2896625,9
AH000064-02,37.37728302,127.2896625,9
AH000065-01,37.648289,126.8561217,9
AH000065-02,37.648289,126.8561217,9
AH000065-03,37.648289,126.8561217,9
AH000065-04,37.648289,126.8561217,9
AH000065-05,37.648289,126.8561217,9
AH000065-06,37.648289,126.8561217,9
AH000065-07,37.648289,126.8561217,9
AH000065-08,37.648289,126.8561217,9
AH000066-01,36.95236738,127.0769701,9
AH000066-02,36.95236738,127.0769701,9
AH000067-01,35.56381057,126.8382319,13
AH000068-01,33.46292124,126.5324308,17
AH000068-02,33.46292124,126.5324308,17
AH000068-03,33.46292124,126.5324308,17
AH000068-04,33.46292124,126.5324308,17
AH000069-01,37.71723738,126.6914994,9
AH000069-02,37.71723738,126.6914994,9
AH000069-03,37.71723738,126.6914994,9
AH000070-01,37.71581188,126.93806635,9
AH000070-02,37.71581188,126.93806635,9
AH000070-03,37.71581188,126.93806635,9
AH000070-04,37.71581188,126.93806635,9
AH000070-05,37.71581188,126.93806635,9
AH000070-06,37.71581188,126.93806635,9
AH000070-07,37.71581188,126.93806635,9
AH000070-08,37.71581188,126.93806635,9
AH000071-01,35.5609527,129.32559891,7
AH000071-02,35.5609527,129.32559891,7
AH000071-03,35.5609527,129.32559891,7
AH000072-01,37.61870795,128.6475742,10
AH000072-02,37.61870795,128.6475742,10
AH000073-01,36.79592187,127.0510105,12
AH000073-02,36.79592187,127.0510105,12
AH000074-01,36.7959972,127.0518335,12
AH000074-02,36.7959972,127.0518335,12
AH000075-01,37.59119568,126.7147004,4
AH000076-01,34.98129738,128.3290167,16
AH000076-02,34.98129738,128.3290167,16
ALAL0001-11,37.483836,126.993952,1
ALAL0001-31,37.483836,126.993952,1
ALAL0001-41,37.483836,126.993952,1
ALAL0001-42,37.483836,126.993952,1
ALAL0002-01,36.8272212,127.1444222,12
ALAL0003-01,36.8272601,127.1427726,12
ALAL0004-01,36.760036,126.4847678,12
ALAL0005-01,37.5214809,127.0152663,1
ALAL0005-02,37.5214809,127.0152663,1
ALAL0005-03,37.5214809,127.0152663,1
ALAL0005-04,37.5214809,127.0152663,1
ALAL0006-01,37.7499151,127.2077035,9
ALAL0007-01,37.43267908,127.12785172,9
ALAL0007-02,37.43267908,127.12785172,9
AM900000-01,37.0892802,127.799186,11
AM900000-11,37.0892802,127.799186,11
AM900001-01,37.2095867,126.9793842,9
AM900001-02,37.2095867,126.9793842,9
AM900001-03,37.2095867,126.9793842,9
AM900001-11,37.2095867,126.9793842,9
AM900001-12,37.2095867,126.9793842,9
AM900001-13,37.2095867,126.9793842,9
AM900002-01,37.206865,126.9766193,9
AM900002-02,37.206865,126.9766193,9
AM900002-03,37.206865,126.9766193,9
AM900002-04,37.206865,126.9766193,9
AM900002-05,37.206865,126.9766193,9
AM900002-06,37.206865,126.9766193,9
AM900003-01,37.2107252,126.9728836,9
AM900003-02,37.2107252,126.9728836,9
AM900003-03,37.2107252,126.9728836,9
AM900004-01,37.2121815,126.9785385,9
